pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
GBPJPY,asia,2025-05-27T22:00:00.000000+0000,2025-05-28T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.922909,0.756,0.432,3,basket_tp_pips,77,false,false,
GBPUSD,asia,2025-05-27T22:00:00.000000+0000,2025-05-28T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.333091,0.468,0.312,3,basket_tp_pips,186,false,false,
NZDUSD,asia,2025-05-27T22:00:00.000000+0000,2025-05-28T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,4,0.0464,2.829943,2.86416,2.86416,4,basket_tp_pips,241,false,false,
EURJPY,london,2025-05-28T02:00:00.000000+0000,2025-05-28T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.2268,0.2268,3,basket_tp_pips,22,false,false,
GBPJPY,london,2025-05-28T02:00:00.000000+0000,2025-05-28T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.0648,0.0648,3,basket_tp_pips,7,false,false,
GBPUSD,london,2025-05-28T02:00:00.000000+0000,2025-05-28T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,5,0.06368,3.947037,6.43656,5.84376,5,basket_tp_pips,237,false,false,
NZDUSD,london,2025-05-28T02:00:00.000000+0000,2025-05-28T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.7644,0.7644,3,basket_tp_pips,3,false,false,
EURJPY,new_york,2025-05-28T12:00:00.000000+0000,2025-05-28T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.54,0.378,3,basket_tp_pips,38,false,false,
GBPJPY,new_york,2025-05-28T12:00:00.000000+0000,2025-05-28T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.0432,0.0432,3,basket_tp_pips,13,false,false,
GBPUSD,new_york,2025-05-28T12:00:00.000000+0000,2025-05-28T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.0468,0.0468,3,basket_tp_pips,20,false,false,
NZDUSD,new_york,2025-05-28T12:00:00.000000+0000,2025-05-28T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.312,0.1404,3,basket_tp_pips,51,false,false,
EURJPY,asia,2025-05-28T22:00:00.000000+0000,2025-05-29T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,7,0.109299,5.933816,14.012455,13.666855,7,basket_tp_pips,98,false,false,
GBPJPY,asia,2025-05-28T22:00:00.000000+0000,2025-05-29T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,7,0.109299,-29.428588,25.262867,25.079267,7,basket_sl_pips,77,false,false,
GBPUSD,asia,2025-05-28T22:00:00.000000+0000,2025-05-29T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,6,0.084416,6.416972,19.009162,17.788368,6,basket_tp_pips,238,false,false,
NZDUSD,asia,2025-05-28T22:00:00.000000+0000,2025-05-29T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.333091,0.2184,0.2184,3,basket_tp_pips,72,false,false,
EURJPY,london,2025-05-29T02:00:00.000000+0000,2025-05-29T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.0756,0.0756,3,basket_tp_pips,11,false,false,
GBPJPY,london,2025-05-29T02:00:00.000000+0000,2025-05-29T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.3564,0.3564,3,basket_tp_pips,11,false,false,
