pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed
NZDUSD,new_york,2025-01-09T13:00:00.000000+0000,2025-01-09T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,0.325,0.21125,3,basket_tp_pips,54
EURJPY,asia,2025-01-09T23:00:00.000000+0000,2025-01-10T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,1.83873,0.73125,0.73125,4,basket_tp_pips,61
GBPJPY,asia,2025-01-09T23:00:00.000000+0000,2025-01-10T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,6,0.09207,4.349111,8.253256,7.912944,6,basket_tp_pips,61
GBPUSD,asia,2025-01-09T23:00:00.000000+0000,2025-01-10T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.227778,1.41375,1.18625,3,basket_tp_pips,161
NZDUSD,asia,2025-01-09T23:00:00.000000+0000,2025-01-10T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.227778,1.17,0.27625,3,basket_tp_pips,139
EURJPY,london,2025-01-10T03:00:00.000000+0000,2025-01-10T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.81,0.52875,3,basket_tp_pips,71
GBPJPY,london,2025-01-10T03:00:00.000000+0000,2025-01-10T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.01125,0.01125,3,basket_tp_pips,9
GBPUSD,london,2025-01-10T03:00:00.000000+0000,2025-01-10T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,6,0.09207,5.345139,15.987153,15.645903,6,basket_tp_pips,259
NZDUSD,london,2025-01-10T03:00:00.000000+0000,2025-01-10T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,2.290318,2.543125,2.104375,4,basket_tp_pips,261
EURJPY,new_york,2025-01-10T13:00:00.000000+0000,2025-01-10T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.01125,0.01125,3,basket_tp_pips,6
